,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
AuthenticateCount,1,0.38,0.21,0.39,-0.02,-0.09,0.08,0.11,0.12,0.33,0.33,0.33,0.33
ActiveCount,0.38,1,0.41,0.76,0.18,-0.06,0.3,0.34,0.43,0.83,0.85,0.84,0.85
DisconnectCount,0.21,0.41,1,0.42,-0.05,-0.09,0.08,0.11,0.12,0.4,0.41,0.4,0.41
CPUUtil,0.39,0.76,0.42,1,-0.25,0.09,0.13,0.14,0.21,0.67,0.7,0.68,0.69
MemoryUsed,-0.02,0.18,-0.05,-0.25,1,-0.57,0.24,0.27,0.27,0.06,0.03,0.06,0.05
MemoryFree,-0.09,-0.06,-0.09,0.09,-0.57,1,0.09,0.02,0.13,-0.04,-0.01,-0.03,-0.03
TempMin,0.08,0.3,0.08,0.13,0.24,0.09,1,0.79,0.86,0.26,0.26,0.27,0.27
TempMax,0.11,0.34,0.11,0.14,0.27,0.02,0.79,1,0.9,0.29,0.3,0.31,0.31
TempAvg,0.12,0.43,0.12,0.21,0.27,0.13,0.86,0.9,1,0.39,0.4,0.4,0.4
InBandwidth,0.33,0.83,0.4,0.67,0.06,-0.04,0.26,0.29,0.39,1,0.97,0.99,0.99
OutBandwidth,0.33,0.85,0.41,0.7,0.03,-0.01,0.26,0.3,0.4,0.97,1,0.98,1
InTotalPPS,0.33,0.84,0.4,0.68,0.06,-0.03,0.27,0.31,0.4,0.99,0.98,1,0.99
OutTotalPPS,0.33,0.85,0.41,0.69,0.05,-0.03,0.27,0.31,0.4,0.99,1,0.99,1
